ac1c59a09b181a9bf701becd3d9272019ba9958c.json_request6,6,5,6,6,6,5,6,6,6,6
2605c86f568ca34269a8258149fadd92cf7759ee.json_request6,3,3,3,3,3,3,3,3,3,3
c86c234172d489b40b8a54cb4d2caa03c3b21fa5.json_request3,10,10,10,10,10,10,10,10,10,10
53390776b2a07a84556d450fae760e03e0563a88.json_request6,4,4,4,4,4,4,4,4,4,4
f90e3f5b984634c268d7acadb110f09a3ba2ff98.json_request3,4,4,4,4,4,4,4,4,4,4
806aed1c54bd9371f5792ed87b4ddc910f2767e4.json_request3,4,4,4,4,4,4,4,4,4,4
ecf6bf353f6c20914d7f0808249390cdf229fd81.json_request3,4,4,4,4,4,4,4,4,4,4
02f0c60bc6fe33e3b25e2b0f78e78c222ffaf0c0.json_request6,7,7,7,7,7,7,7,7,7,7
9edad62027a87685c9c83e28b476194e0d6203ff.json_request2,3,3,3,3,3,3,3,3,3,3
c44db2fd2c8106ed66a8474745e99e6bf8e2ba81.json_request1,3,3,3,3,3,3,3,3,3,3
8623c7c7c9d84c4152bc4173b2a0c49d85352107.json_request0,19,16,15,15,15,15,15,15,15,15
56ce22b45190d337a578a2bc93051fa5a989a3fc.json_request7,7,8,7,7,7,7,7,7,7,8
36643671cb9056082ec1b5a51897a271cff557f9.json_request0,12,7,7,6,6,6,6,6,6,6
1f67bb41e6d549ac3ba8fc8bc78fd2d193b0ac72.json_request7,3,3,3,3,3,3,3,3,3,3
72f38ecaf726e78924670489e462242b8ac93899.json_request2,4,3,3,4,4,3,3,3,4,4
8ae91bbd1827ce1426831ae4fa3c5cf5a0a2879f.json_request7,8,8,8,18,8,8,8,8,8,8
b257b859a641fd1d93794e860a543792bb611975.json_request6,8,8,8,8,8,8,8,8,8,8
e6d13aa01eeca3a08120eded5770177961b94603.json_request7,9,8,8,9,8,9,9,8,8,9
422d42b177eb2478c5c1adc532f317d15bfadad6.json_request6,3,3,3,3,3,3,3,3,3,3
89590022943b6b64429d8e95ecebb436c877a69a.json_request4,3,3,3,3,3,3,3,3,4,4
b638f3045be73893be98095cf96e50cbd6833fe5.json_request2,10,10,10,10,10,10,10,10,10,9
2377040753d05203eb594a9f9fc4db9576d2d4ae.json_request7,11,11,11,10,11,10,10,10,11,10
b4ab3db1d6324ae7de4e9c7e904790b8eb815a20.json_request5,4,3,3,4,3,4,3,4,4,3
08d332505bac0f634bd836379a01bc5fabd40a01.json_request7,4,3,3,3,3,3,4,4,3,3
6771dcceb63b42c7d0f71c9419212f102bf4824d.json_request4,4,4,4,4,4,4,4,4,4,4
2a7a6c3c6babcac798658879a11ee5b6796f0c63.json_request5,7,7,7,7,6,7,6,7,7,7
d49a772f4a714202acc7e618323d8077dee029a9.json_request3,3,3,3,3,3,3,3,3,3,3
917c99254fa4c6f549aa52b48d05d9e725ebe76d.json_request2,10,9,9,9,9,9,9,9,9,9
fc34af8f615253f8352856418cf2d1ea20b6f38f.json_request1,4,4,4,4,4,4,4,4,4,4
ee0044e8e6f23e0acd8838bd7a80cf76aa658a77.json_request4,3,3,3,3,3,3,3,3,3,3
c55ea756a2d1c0a3c97f954ea8c80db22f9d15f2.json_request6,10,9,9,9,9,9,9,9,9,9
dbd07beb2b434cead6169cb76edf765376cf9c54.json_request5,4,4,4,4,4,4,5,5,4,4
57af180f25b50d682dfef703c3efbcd61a804035.json_request2,3,3,3,3,3,3,3,3,3,3
4b5acebb7d2dee686d3fd335242afc37a04ae473.json_request1,3,3,3,3,3,4,4,4,4,4
d2a186eec4422f8fd159d24d24c4739e7b8a34dc.json_request4,3,3,3,2,3,3,3,3,2,2
0948d013d3b2e22007715ec41ad3d6d825db29bc.json_request7,9,8,9,9,8,9,9,9,9,9
10e11e8ef5e594de3678aa1decba75663c88da1b.json_request3,4,5,4,5,4,4,4,4,4,5
7eda931bdbfa2ee83d92f3007dfa88f8ebe393da.json_request7,4,4,4,4,4,4,4,4,13,4
e3ac8efb043feea0502d2fc5967980209fd2637b.json_request7,9,9,9,9,9,9,9,9,9,9
1c3d2e0caa7c2ff34e426f6d342cc447df34a46d.json_request0,6,5,5,5,4,5,5,4,4,4
a88e3155ea869b70e4eecef94c703615d42968b9.json_request6,8,8,8,8,8,8,8,8,8,8
a4775d477367989e726baf36ddf3bce83b5bb258.json_request5,7,6,7,6,7,7,7,7,7,7
7cd6fc110f59ab1953fb1dd4b46eb7b987e3b707.json_request3,3,3,3,3,3,3,3,3,3,3
fe1139886b7e18aeb0d38fe6cb3ee5e41ed5dd89.json_request3,7,6,7,7,7,7,7,7,7,7
a7aefd136add2fff006c319ce25fbeaf3fb038b5.json_request3,8,8,8,9,8,8,8,8,8,8
715f9e9e1b6f8739acee82770887d2c60cb987ce.json_request0,7,5,5,5,5,5,4,5,5,4
c6c5987826d0dfe6062a3930989362c6888f8cec.json_request2,4,5,4,4,4,4,4,4,4,4
966ca9ce804bea581d8a52f73555026904c8d4da.json_request0,12,9,9,8,8,9,8,8,8,8
94e3ab25d8fbb287110a46165f9642c5b38c9061.json_request2,5,5,5,5,5,6,5,6,5,5
aa9d3ff1944edf077a5cd8cbc1fdf6a74da8c1d1.json_request7,4,4,4,4,4,4,4,4,4,4
c615078746cdc96f578a5c58d2b09341c6eb15bf.json_request6,5,5,5,5,5,5,5,5,5,5
fab7aac782c2affaf9497ee23820eceac8d82c82.json_request2,3,3,3,3,3,3,3,3,3,3
ea7a973b97521f50a6690a06fc4e9304a6163c6f.json_request2,4,4,4,4,4,4,4,4,6,4
83a7569b6c15bcf3d84019bd501fe0884edb168b.json_request0,6,4,4,4,4,4,4,4,4,4
cc5052e2aa31e5bc44b4ecd50238346b496e2869.json_request2,11,9,9,9,9,9,9,9,9,9
436c80a357deec54eefea0362185859ee6f70a0c.json_request5,5,4,5,5,4,5,4,4,4,5
6f1a54eb65c1c9bc8c65cd84047e58510572e530.json_request6,4,4,4,4,4,4,5,4,4,4
36f06c92b41e754cdd93002bb46e377565ed465e.json_request3,9,9,9,9,9,9,9,9,9,9
38062d883475b00b7baaf5e27abb3432e6c38dfd.json_request6,8,8,8,8,8,8,8,8,8,8
ff3ddb91bbb7fd90a9193aa5ce53a801f9f4d4a4.json_request1,9,9,9,9,9,10,10,10,10,9
